OrigZoneNo,DestZoneNo,Index,Path_Volume,Path_UnloadedTime,Path_UnloadedSpeed,Path_LoadedTime,Path_LoadedSpeed,Links_Count,Links_MinCarCapacity,Links_MaxCarCapacity,Links_AvgCarCapacity,Links_SumCarCapacity,Links_MinLength,Links_MaxLength,Links_AvgLength,Links_SumLength,Links_MinOfCars,Links_MaxOfCars,Links_AvgOfCars,Links_SumOfCars,Links_MinLoadedSpeed,Links_MaxLoadedSpeed,Links_AvgLoadedSpeed,Links_MinUnloadedTime,Links_MaxUnloadedTime,Links_AvgUnloadedTime,Links_SumUnloadedTime,Links_MinLoadedTime,Links_MaxLoadedTime,Links_AvgLoadedTime,Links_SumLoadedTime,Links_ToNodeNo,Links_FromNodeNo
10,20,1,19208.0,2min 23s,36km/h,3min 10s,27km/h,3,500,800,600,1800,0.066km,0.167km,0.111km,0.332km,179,302,234,702,28km/h,29km/h,28km/h,8s,20s,13s,40s,8s,22s,14s,43s,"2642,153,3111","3412,2642,153"
10,20,2,1064.0,2min 14s,38km/h,3min 10s,27km/h,3,500,800,600,1800,0.055km,0.327km,0.183km,0.549km,221,256,238,713,27km/h,29km/h,28km/h,7s,39s,22s,1min 6s,7s,43s,24s,1min 12s,"2645,153,3111","3064,2645,153"
10,30,1,36624.0,2min,38km/h,2min 22s,32km/h,3,500,800,600,1800,0.090km,0.252km,0.171km,0.513km,271,295,285,856,25km/h,29km/h,26km/h,11s,30s,21s,1min 2s,13s,35s,23s,1min 10s,"138,3351,162","137,138,3351"
10,40,1,18483.0,3min 5s,29km/h,3min 32s,26km/h,7,500,2000,971,6800,0.051km,0.183km,0.120km,0.840km,76,703,305,2137,27km/h,30km/h,29km/h,6s,22s,14s,1min 41s,6s,24s,15s,1min 45s,"10000658,3081,2649,130,139,140,3389","3064,10000658,3081,2649,130,139,140"
10,40,2,0.481,2min 59s,32km/h,3min 32s,27km/h,5,500,2000,860,4300,0.051km,0.379km,0.193km,0.967km,143,703,344,1718,21km/h,29km/h,27km/h,6s,45s,23s,1min 56s,6s,47s,27s,2min 14s,"3404,130,139,140,3389","3077,3404,130,139,140"
10,40,3,0.038,3min 2s,31km/h,3min 32s,27km/h,6,500,2000,1150,6900,0.029km,0.183km,0.114km,0.686km,228,801,487,2920,15km/h,29km/h,26km/h,3s,22s,14s,1min 22s,6s,24s,15s,1min 30s,"138,2649,130,139,140,3389","137,138,2649,130,139,140"
10,50,1,27462.0,2min 9s,34km/h,5min 2s,15km/h,5,500,1000,720,3600,0.024km,0.319km,0.145km,0.725km,311,355,320,1600,24km/h,57km/h,32km/h,3s,26s,14s,1min 8s,3s,28s,15s,1min 15s,"2651,104,954,3332,3333","3082,2651,104,954,3332"
10,60,1,24591.0,3min,27km/h,5min 56s,14km/h,11,500,2000,864,9500,0.013km,0.323km,0.111km,1.216km,254,2792,764,8405,13km/h,29km/h,22km/h,1s,34s,12s,2min 8s,3s,1min 10s,19s,3min 27s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,128","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122"
10,60,2,0.607,2min 58s,31km/h,5min 56s,15km/h,11,500,2000,891,9800,0.013km,0.323km,0.096km,1.056km,287,2792,786,8649,13km/h,29km/h,22km/h,1s,23s,10s,1min 49s,3s,1min 10s,17s,3min 7s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2947","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122"
10,70,1,16280.0,2min 18s,39km/h,3min 23s,27km/h,3,500,800,600,1800,0.114km,0.133km,0.123km,0.369km,16,207,134,402,28km/h,30km/h,29km/h,14s,16s,15s,44s,15s,16s,15s,45s,"2643,163,3413","3412,2643,163"
10,80,1,14229.0,4min 49s,29km/h,5min 33s,25km/h,9,500,2000,767,6900,0.051km,0.379km,0.159km,1.434km,30,703,280,2519,21km/h,30km/h,28km/h,6s,45s,19s,2min 52s,6s,47s,21s,3min 12s,"3404,130,139,140,2784,141,142,2753,3094","3077,3404,130,139,140,2784,141,142,2753"
10,80,2,0.415,4min 55s,28km/h,5min 34s,24km/h,11,500,2000,855,9400,0.051km,0.179km,0.119km,1.307km,30,703,267,2938,25km/h,30km/h,29km/h,6s,21s,14s,2min 37s,6s,23s,15s,2min 43s,"10000658,3081,2649,130,139,140,2784,141,142,2753,3094","3064,10000658,3081,2649,130,139,140,2784,141,142,2753"
10,80,3,1356.0,4min 52s,28km/h,5min 33s,25km/h,10,500,2000,950,9500,0.029km,0.179km,0.115km,1.153km,30,801,372,3722,15km/h,30km/h,27km/h,3s,21s,14s,2min 18s,6s,23s,15s,2min 28s,"138,2649,130,139,140,2784,141,142,2753,3094","137,138,2649,130,139,140,2784,141,142,2753"
10,90,1,5498.0,5min 56s,29km/h,6min 50s,25km/h,14,500,4200,979,13700,0.023km,0.379km,0.161km,2.258km,74,3535,597,8358,21km/h,38km/h,27km/h,3s,45s,19s,4min 25s,4s,47s,22s,5min 13s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,156604542,2949,127,10000661","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,156604542,2949,127"
10,90,2,13115.0,4min 14s,30km/h,6min 50s,19km/h,11,500,4200,1064,11700,0.024km,0.319km,0.146km,1.610km,74,3535,603,6638,24km/h,57km/h,33km/h,2s,32s,15s,2min 47s,3s,39s,17s,3min 10s,"2651,104,954,3332,3333,3330,156604541,156604542,2949,127,10000661","3082,2651,104,954,3332,3333,3330,156604541,156604542,2949,127"
10,90,3,11698.0,5min 15s,30km/h,6min 50s,23km/h,17,500,4200,1512,25700,0.019km,0.379km,0.121km,2.049km,65,3580,1081,18376,21km/h,40km/h,29km/h,2s,45s,14s,3min 52s,2s,47s,16s,4min 35s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,2950,113,114,1000413","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,2950,113,114"
10,90,4,0.598,5min 15s,29km/h,6min 50s,22km/h,13,500,4200,1015,13200,0.023km,0.379km,0.151km,1.957km,125,3535,612,7954,21km/h,38km/h,27km/h,3s,45s,18s,3min 49s,4s,47s,21s,4min 32s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,156604542,2949,1000413","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,156604542,2949"
10,100,1,18289.0,3min 35s,30km/h,7min 40s,14km/h,13,500,2000,908,11800,0.013km,0.323km,0.106km,1.381km,213,2792,831,10803,13km/h,29km/h,22km/h,1s,23s,10s,2min 11s,3s,1min 10s,19s,4min 12s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,1000075","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123"
10,100,2,0.146,4min 55s,24km/h,7min 40s,15km/h,11,500,800,718,7900,0.024km,0.256km,0.138km,1.516km,84,600,353,3882,21km/h,30km/h,26km/h,3s,31s,17s,3min 2s,3s,31s,19s,3min 33s,"2651,104,954,3332,951,105,2657,124,167,171,1058","3082,2651,104,954,3332,951,105,2657,124,167,171"
10,110,1,24745.0,4min 34s,34km/h,9min 50s,16km/h,17,500,2000,1000,17000,0.013km,0.389km,0.132km,2.250km,287,2792,944,16054,13km/h,43km/h,23km/h,1s,28s,11s,3min 9s,3s,1min 10s,22s,6min 20s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500"
10,110,2,11960.0,5min 59s,26km/h,9min 50s,16km/h,13,500,800,754,9800,0.024km,0.422km,0.158km,2.049km,311,708,510,6631,18km/h,28km/h,23km/h,3s,51s,19s,4min 6s,3s,56s,25s,5min 30s,"2651,104,954,3332,951,105,2657,124,168,2932,165,129,520","3082,2651,104,954,3332,951,105,2657,124,168,2932,165,129"
10,120,1,15453.0,5min 47s,28km/h,9min 57s,16km/h,12,500,800,750,9000,0.018km,0.447km,0.149km,1.782km,311,600,416,4996,21km/h,28km/h,25km/h,2s,54s,18s,3min 34s,2s,58s,21s,4min 13s,"2651,104,954,3332,951,105,2657,124,1000011,166,606,607","3082,2651,104,954,3332,951,105,2657,124,1000011,166,606"
10,130,1,31038.0,7min 22s,35km/h,12min 50s,20km/h,24,500,2000,1117,26800,0.013km,0.389km,0.165km,3.952km,209,2792,885,21248,13km/h,45km/h,26km/h,1s,47s,15s,5min 50s,3s,1min 10s,24s,9min 25s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102,2560,502,1000101,504,509,507,506","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102,2560,502,1000101,504,509,507"
10,130,2,25928.0,7min 29s,37km/h,12min 50s,22km/h,25,500,2000,1260,31500,0.013km,0.423km,0.171km,4.280km,165,2792,915,22879,13km/h,49km/h,29km/h,1s,51s,14s,5min 55s,3s,1min 10s,23s,9min 23s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102,2560,502,1000101,504,505,534,535,506","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102,2560,502,1000101,504,505,534,535"
10,140,1,35722.0,8min 49s,27km/h,12min 47s,19km/h,18,500,800,767,13800,0.009km,0.679km,0.184km,3.319km,236,600,371,6678,21km/h,29km/h,26km/h,1s,1min 21s,22s,6min 38s,1s,1min 26s,25s,7min 25s,"2651,104,954,3332,951,105,2657,124,1000011,166,606,607,1000012,2666,608,621,622,1000015","3082,2651,104,954,3332,951,105,2657,124,1000011,166,606,607,1000012,2666,608,621,622"
10,150,1,10168.0,8min 57s,35km/h,11min 54s,27km/h,28,500,4200,2079,58200,0.019km,0.361km,0.152km,4.266km,47,4444,1373,38436,21km/h,60km/h,34km/h,1s,43s,13s,6min 15s,2s,43s,17s,7min 43s,"10000658,3081,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,2908","3064,10000658,3081,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618"
10,150,2,5171.0,8min 7s,39km/h,11min 54s,27km/h,28,500,4200,2314,64800,0.019km,0.379km,0.155km,4.347km,143,3580,1858,52020,20km/h,42km/h,33km/h,1s,45s,13s,6min 7s,2s,47s,18s,8min 33s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,2908","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618"
10,150,3,0.614,6min 34s,43km/h,11min 54s,24km/h,28,500,4200,2461,68900,0.019km,0.361km,0.148km,4.157km,275,3580,1956,54777,20km/h,57km/h,36km/h,1s,26s,11s,4min 54s,2s,45s,15s,7min 12s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,2678,625","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,2678"
10,150,4,0.274,8min 43s,39km/h,11min 54s,28km/h,31,500,4200,2223,68900,0.019km,0.447km,0.167km,5.190km,111,3580,1772,54938,20km/h,43km/h,33km/h,1s,45s,14s,7min 11s,2s,1min 7s,20s,10min 16s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,624,2676,2893","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,624,2676"
10,160,1,20169.0,5min 28s,34km/h,9min 10s,20km/h,18,500,4200,1856,33400,0.024km,0.319km,0.128km,2.309km,187,3580,1046,18833,23km/h,60km/h,36km/h,2s,29s,12s,3min 40s,3s,32s,14s,4min 9s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,2950,113,115,1000332,126,3405,603,2661","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,2950,113,115,1000332,126,3405,603"
10,160,2,1791.0,7min 11s,32km/h,9min 10s,25km/h,21,500,4200,1686,35400,0.023km,0.379km,0.141km,2.957km,143,3580,979,20553,21km/h,60km/h,31km/h,2s,45s,15s,5min 19s,3s,47s,18s,6min 13s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,2950,113,115,1000332,126,3405,603,2661","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,2950,113,115,1000332,126,3405,603"
10,170,1,13659.0,3min 45s,43km/h,8min 27s,19km/h,14,500,4200,2414,33800,0.024km,0.319km,0.112km,1.564km,311,3580,1911,26755,20km/h,57km/h,36km/h,2s,26s,9s,2min 1s,3s,45s,13s,2min 57s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,121","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678"
10,170,2,10267.0,5min 46s,37km/h,8min 27s,25km/h,21,500,4200,2262,47500,0.019km,0.379km,0.140km,2.930km,143,3580,1847,38781,20km/h,42km/h,31km/h,1s,45s,13s,4min 23s,2s,47s,18s,6min 17s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602"
10,170,3,6983.0,4min 35s,45km/h,8min 27s,24km/h,17,500,4200,2394,40700,0.024km,0.361km,0.154km,2.615km,311,3580,1902,32327,20km/h,59km/h,36km/h,2s,26s,11s,3min 7s,3s,45s,16s,4min 36s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,700,600","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,700"
10,170,4,0.038,5min 27s,37km/h,8min 27s,24km/h,17,500,4200,2106,35800,0.023km,0.379km,0.130km,2.212km,143,3580,1675,28475,20km/h,51km/h,30km/h,2s,45s,13s,3min 39s,3s,47s,18s,5min,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,121","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678"
10,170,5,0.045,7min 6s,35km/h,8min 26s,29km/h,19,500,4200,1905,36200,0.029km,0.361km,0.159km,3.028km,47,4444,1118,21245,15km/h,60km/h,33km/h,3s,43s,15s,4min 36s,4s,43s,18s,5min 35s,"138,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,700,600","137,138,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,700"
10,170,6,0.049,6min 48s,31km/h,8min 27s,25km/h,22,500,4200,2109,46400,0.019km,0.379km,0.131km,2.877km,143,3580,1197,26343,21km/h,60km/h,35km/h,1s,45s,13s,4min 43s,2s,47s,15s,5min 35s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,2950,113,115,1000332,126,601,1000028,602,613","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,2950,113,115,1000332,126,601,1000028,602"
10,180,1,7712.0,5min 50s,41km/h,10min 43s,22km/h,23,500,4200,2387,54900,0.019km,0.361km,0.141km,3.234km,113,3580,1910,43935,20km/h,57km/h,35km/h,1s,39s,11s,4min 11s,2s,52s,16s,6min 5s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,1046,2912","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,1046"
10,190,1,7442.0,6min 16s,46km/h,11min 32s,25km/h,27,500,4200,2619,70700,0.019km,0.361km,0.153km,4.142km,311,3580,2072,55949,20km/h,57km/h,38km/h,1s,26s,10s,4min 36s,2s,45s,15s,6min 52s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626"
10,200,1,11544.0,7min 53s,44km/h,14min 7s,25km/h,34,500,4200,2553,86800,0.019km,0.361km,0.153km,5.185km,311,3580,1934,65772,14km/h,57km/h,38km/h,1s,26s,10s,5min 55s,2s,45s,15s,8min 38s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2683","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639"
10,210,1,67525.0,11min 45s,30km/h,16min 25s,22km/h,25,500,2000,1104,27600,0.015km,0.484km,0.208km,5.194km,289,1275,597,14931,18km/h,47km/h,28km/h,1s,51s,22s,9min 15s,1s,1min 8s,28s,11min 33s,"2651,104,954,3332,951,105,2657,124,168,2932,165,129,2665,501,2675,513,1000036,529,528,527,2554,542,575,576,2692","3082,2651,104,954,3332,951,105,2657,124,168,2932,165,129,2665,501,2675,513,1000036,529,528,527,2554,542,575,576"
10,220,1,23441.0,11min,29km/h,16min 22s,19km/h,24,500,2000,1079,25900,0.015km,0.484km,0.201km,4.815km,289,1275,595,14279,18km/h,47km/h,28km/h,1s,51s,22s,8min 46s,1s,1min 3s,27s,10min 51s,"2651,104,954,3332,951,105,2657,124,168,2932,165,129,2665,501,2675,513,1000036,529,528,527,2554,542,544,545","3082,2651,104,954,3332,951,105,2657,124,168,2932,165,129,2665,501,2675,513,1000036,529,528,527,2554,542,544"
10,230,1,21864.0,10min 22s,36km/h,16min 14s,23km/h,28,500,2000,1254,35100,0.013km,1.019km,0.202km,5.649km,287,2792,867,24280,13km/h,49km/h,29km/h,1s,2min 2s,18s,8min 34s,3s,2min 23s,27s,12min 44s,"3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102,2560,502,1000101,504,505,534,535,536,2688,1010541,1011192","3401,3400,3068,156604566,3714,944,945,939,943,156604571,122,2655,123,2946,164,1000093,500,1000102,2560,502,1000101,504,505,534,535,536,2688,1010541"
10,240,1,17238.0,11min 4s,37km/h,17min 48s,23km/h,37,500,4200,2632,97400,0.019km,0.390km,0.163km,6.035km,311,3580,1864,68975,20km/h,57km/h,39km/h,1s,28s,11s,6min 52s,2s,45s,15s,9min 25s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,648","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644"
10,250,1,12925.0,14min 52s,36km/h,20min 9s,27km/h,42,500,4200,2243,94200,0.019km,0.427km,0.170km,7.133km,47,4444,1405,59027,16km/h,60km/h,37km/h,1s,51s,14s,9min 39s,2s,1min 39s,18s,12min 32s,"10000658,3081,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,1000056,645,1010646","3064,10000658,3081,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,1000056,645"
10,250,2,10991.0,12min 19s,41km/h,20min 9s,25km/h,39,500,4200,2533,98800,0.019km,0.427km,0.168km,6.566km,311,3580,1818,70893,16km/h,57km/h,38km/h,1s,51s,12s,7min 52s,2s,1min 39s,17s,11min 18s,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,1000056,645,1010646","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,1000056,645"
10,250,3,0.857,15min 23s,44km/h,20min 9s,33km/h,54,500,4200,2217,119700,0.019km,0.606km,0.183km,9.896km,143,3580,1483,80103,18km/h,50km/h,36km/h,1s,48s,14s,12min 46s,2s,50s,19s,17min 22s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,648,2696,656,1000059,3510,657,3361,658,269...","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,1000028,602,613,2660,1000030,614,616,1000032,618,627,626,630,2681,631,1000054,2682,1000055,639,2686,2635,644,648,2696,656,1000059,3510,657,3361,65..."
10,260,1,8644.0,10min 46s,38km/h,14min 49s,27km/h,29,500,4200,1621,47000,0.031km,0.632km,0.197km,5.703km,47,4444,945,27394,21km/h,60km/h,35km/h,2s,45s,17s,8min 3s,3s,57s,20s,9min 42s,"10000658,3081,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,700,3410,701,703,1000334,3409,704,1000336,706,711,2515","3064,10000658,3081,2649,130,139,2743,2744,2746,119,3324,118,931,935,936,938,678,116,601,700,3410,701,703,1000334,3409,704,1000336,706,711"
10,260,2,5956.0,9min 55s,41km/h,14min 50s,28km/h,29,500,4200,1848,53600,0.023km,0.632km,0.199km,5.784km,143,3580,1413,40978,20km/h,59km/h,33km/h,2s,45s,16s,7min 54s,3s,57s,22s,10min 32s,"3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,700,3410,701,703,1000334,3409,704,1000336,706,711,2515","3077,3404,130,3079,3080,103,3331,156604538,156604544,3330,156604541,956,156604539,101,929,938,678,116,601,700,3410,701,703,1000334,3409,704,1000336,706,711"
10,270,1,6594.0,11min 2s,38km/h,17min 14s,25km/h,26,500,4200,1977,51400,0.024km,1.580km,0.244km,6.337km,181,3580,1482,38525,20km/h,59km/h,36km/h,2s,3min 10s,21s,8min 53s,3s,3min 12s,25s,11min,"2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,700,3410,701,703,1000334,3409,704,1000336,706,707,1000338","3082,2651,104,954,3332,3333,3330,156604541,956,156604539,101,929,938,678,116,601,700,3410,701,703,1000334,3409,704,1000336,706,707"
